"filename", "language", "XML", "JSON", "C#", "Batch", "Markdown", "Log", "Shell Script", "YAML", "ShaderLab", "HLSL", "comment", "blank", "total"
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Settings/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/UserInterface/Bootstrap.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/UserInterface/CollaborateWindow.cs", "C#", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 26, 36, 255
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/UserInterface/README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/UserInterface/ToolbarButton.cs", "C#", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 3, 21, 217
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/UserInterface/WindowCache.cs", "C#", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 27, 113
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Utilities/ExtensionMethods.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 8, 2, 27
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Utilities/MenuUtilities.cs", "C#", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 13, 5, 63
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Utilities/OpenLinksUtility.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Utilities/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
